symbol,type,common_name,hq_aprox_location_lat,hq_aprox_location_lon,Date,Open,High,Low,Close,Adj Close,Volume,Year
KO,Stock,The CocaCola Company,34,-84,28/9/1970,0.78125,0.790365,0.765625,0.790365,0.186657,5817600,1970
KO,Stock,The CocaCola Company,34,-84,5/10/1970,0.796875,0.851563,0.796875,0.796875,0.188194,13440000,1970
KO,Stock,The CocaCola Company,34,-84,12/10/1970,0.796875,0.822917,0.786458,0.817708,0.193114,3312000,1970
KO,Stock,The CocaCola Company,34,-84,19/10/1970,0.817708,0.832031,0.807292,0.822917,0.194344,3350400,1970
KO,Stock,The CocaCola Company,34,-84,26/10/1970,0.822917,0.833333,0.817708,0.820313,0.193729,5539200,1970
KO,Stock,The CocaCola Company,34,-84,2/11/1970,0.820313,0.838542,0.820313,0.835938,0.197419,4809600,1970
KO,Stock,The CocaCola Company,34,-84,9/11/1970,0.835938,0.875,0.833333,0.845052,0.199572,6316800,1970
KO,Stock,The CocaCola Company,34,-84,16/11/1970,0.845052,0.854167,0.832031,0.848958,0.200494,5472000,1970
KO,Stock,The CocaCola Company,34,-84,23/11/1970,0.848958,0.875,0.845052,0.871094,0.205722,4761600,1970
KO,Stock,The CocaCola Company,34,-84,30/11/1970,0.871094,0.901042,0.869792,0.895833,0.212507,7593600,1970
KO,Stock,The CocaCola Company,34,-84,7/12/1970,0.895833,0.911458,0.877604,0.878906,0.208492,10886400,1970
KO,Stock,The CocaCola Company,34,-84,14/12/1970,0.878906,0.884115,0.865885,0.869792,0.20633,5059200,1970
KO,Stock,The CocaCola Company,34,-84,21/12/1970,0.869792,0.877604,0.858073,0.864583,0.205095,4156800,1970
KO,Stock,The CocaCola Company,34,-84,28/12/1970,0.864583,0.895833,0.864583,0.882813,0.209419,5318400,1970
KO,Stock,The CocaCola Company,34,-84,4/1/1971,0.875,0.895833,0.851563,0.894531,0.212199,9859200,1971
KO,Stock,The CocaCola Company,34,-84,11/1/1971,0.893229,0.89974,0.888021,0.893229,0.21189,6393600,1971
KO,Stock,The CocaCola Company,34,-84,18/1/1971,0.893229,0.895833,0.880208,0.886719,0.210345,5299200,1971
KO,Stock,The CocaCola Company,34,-84,25/1/1971,0.886719,0.908854,0.885417,0.90625,0.214979,5308800,1971
KO,Stock,The CocaCola Company,34,-84,1/2/1971,0.90625,0.90625,0.894531,0.895833,0.212507,6153600,1971
KO,Stock,The CocaCola Company,34,-84,8/2/1971,0.895833,0.925781,0.889323,0.919271,0.218067,6547200,1971
KO,Stock,The CocaCola Company,34,-84,15/2/1971,0.919271,0.924479,0.890625,0.893229,0.21189,5731200,1971
KO,Stock,The CocaCola Company,34,-84,22/2/1971,0.893229,0.911458,0.877604,0.907552,0.215287,4598400,1971
KO,Stock,The CocaCola Company,34,-84,1/3/1971,0.907552,0.934896,0.901042,0.932292,0.221156,4022400,1971
KO,Stock,The CocaCola Company,34,-84,8/3/1971,0.932292,0.966146,0.928385,0.955729,0.226716,6192000,1971
KO,Stock,The CocaCola Company,34,-84,15/3/1971,0.953125,0.988281,0.942708,0.983073,0.234236,5020800,1971
KO,Stock,The CocaCola Company,34,-84,22/3/1971,0.983073,0.984375,0.955729,0.973958,0.232065,6019200,1971
KO,Stock,The CocaCola Company,34,-84,29/3/1971,0.973958,0.990885,0.973958,0.985677,0.234857,5558400,1971
KO,Stock,The CocaCola Company,34,-84,5/4/1971,0.985677,1.046875,0.980469,1.046875,0.249438,4204800,1971
KO,Stock,The CocaCola Company,34,-84,12/4/1971,1.052083,1.09375,1.020833,1.026042,0.244474,9158400,1971
KO,Stock,The CocaCola Company,34,-84,19/4/1971,1.026042,1.039063,1,1.003906,0.2392,6528000,1971
KO,Stock,The CocaCola Company,34,-84,26/4/1971,1.011719,1.020833,0.997396,1.001302,0.23858,7814400,1971
KO,Stock,The CocaCola Company,34,-84,3/5/1971,1,1.02474,0.996094,1.023438,0.243854,9014400,1971
KO,Stock,The CocaCola Company,34,-84,10/5/1971,1.023438,1.072917,1.020833,1.0625,0.253161,6134400,1971
KO,Stock,The CocaCola Company,34,-84,17/5/1971,1.061198,1.067708,1.023438,1.059896,0.252541,5020800,1971
KO,Stock,The CocaCola Company,34,-84,24/5/1971,1.057292,1.057292,1.028646,1.048177,0.249749,4598400,1971
KO,Stock,The CocaCola Company,34,-84,31/5/1971,1.048177,1.072917,1.042969,1.071615,0.255333,5654400,1971
KO,Stock,The CocaCola Company,34,-84,7/6/1971,1.078125,1.088542,1.067708,1.083333,0.258125,4012800,1971
KO,Stock,The CocaCola Company,34,-84,14/6/1971,1.083333,1.09375,1.041667,1.041667,0.24914,5577600,1971
KO,Stock,The CocaCola Company,34,-84,21/6/1971,1.041667,1.057292,1.033854,1.044271,0.249763,5980800,1971
KO,Stock,The CocaCola Company,34,-84,28/6/1971,1.044271,1.083333,1.041667,1.080729,0.258483,5932800,1971
KO,Stock,The CocaCola Company,34,-84,5/7/1971,1.080729,1.080729,1.046875,1.052083,0.251632,3321600,1971
KO,Stock,The CocaCola Company,34,-84,12/7/1971,1.052083,1.057292,1.015625,1.049479,0.251009,15513600,1971
KO,Stock,The CocaCola Company,34,-84,19/7/1971,1.054688,1.080729,1.054688,1.075521,0.257237,3590400,1971
KO,Stock,The CocaCola Company,34,-84,26/7/1971,1.075521,1.078125,1.03125,1.040365,0.248829,5846400,1971
KO,Stock,The CocaCola Company,34,-84,2/8/1971,1.040365,1.061198,1.03125,1.053385,0.251943,5990400,1971
KO,Stock,The CocaCola Company,34,-84,9/8/1971,1.053385,1.066406,1.048177,1.0625,0.254123,3811200,1971
KO,Stock,The CocaCola Company,34,-84,16/8/1971,1.072917,1.09375,1.049479,1.088542,0.260352,13564800,1971
KO,Stock,The CocaCola Company,34,-84,23/8/1971,1.088542,1.143229,1.085938,1.134115,0.271252,9552000,1971
KO,Stock,The CocaCola Company,34,-84,30/8/1971,1.134115,1.136719,1.127604,1.135417,0.271563,3638400,1971
KO,Stock,The CocaCola Company,34,-84,6/9/1971,1.135417,1.148438,1.111979,1.122396,0.268449,3772800,1971
KO,Stock,The CocaCola Company,34,-84,13/9/1971,1.122396,1.130208,1.098958,1.111979,0.266922,4089600,1971
KO,Stock,The CocaCola Company,34,-84,20/9/1971,1.114583,1.130208,1.097656,1.122396,0.269423,4204800,1971
KO,Stock,The CocaCola Company,34,-84,27/9/1971,1.119792,1.145833,1.110677,1.143229,0.274424,3868800,1971
KO,Stock,The CocaCola Company,34,-84,4/10/1971,1.151042,1.190104,1.151042,1.190104,0.285676,3763200,1971
KO,Stock,The CocaCola Company,34,-84,11/10/1971,1.190104,1.191406,1.109375,1.121094,0.26911,4896000,1971
KO,Stock,The CocaCola Company,34,-84,18/10/1971,1.122396,1.15625,1.109375,1.151042,0.276299,8428800,1971
KO,Stock,The CocaCola Company,34,-84,25/10/1971,1.151042,1.151042,1.104167,1.135417,0.272549,5136000,1971
KO,Stock,The CocaCola Company,34,-84,1/11/1971,1.135417,1.169271,1.127604,1.16276,0.279112,5462400,1971
KO,Stock,The CocaCola Company,34,-84,8/11/1971,1.16276,1.177083,1.111979,1.119792,0.268798,3974400,1971
KO,Stock,The CocaCola Company,34,-84,15/11/1971,1.119792,1.125,1.083333,1.09375,0.262547,5308800,1971
KO,Stock,The CocaCola Company,34,-84,22/11/1971,1.09375,1.127604,1.083333,1.127604,0.270673,3974400,1971
KO,Stock,The CocaCola Company,34,-84,29/11/1971,1.127604,1.184896,1.117188,1.179688,0.28424,6748800,1971
KO,Stock,The CocaCola Company,34,-84,6/12/1971,1.179688,1.197917,1.135417,1.197917,0.288632,4972800,1971
KO,Stock,The CocaCola Company,34,-84,13/12/1971,1.197917,1.213542,1.179688,1.208333,0.291142,6806400,1971
